id;latitud;longitud;nombre;variable;unidades;subcuenca;estado;datoActual;datoTotal;municipioNombre;estadoInt;estadoInternal
485;38.67963856163353;-0.19221286390425982;Embalse de Guadalest;8E02EVI1MVVR;Hm³;10;ESTADO_VERDE;2.309;12.99;Guadalest;1;ESTADO_VERDE
476;39.66375923248706;-0.9135184175218464;Embalse Loriguilla;6E02EVI1MVVR;Hm³;5;ESTADO_VERDE;20.789;73.21;Loriguilla;1;ESTADO_VERDE
480;39.129704903978265;-0.648394649636228;Embalse Tous;7E04EVI1MAMR;Hm³;4;ESTADO_VERDE;95.383;378.6;Tous;1;ESTADO_VERDE
142;39.22269706387334;-0.7322336949940562;Acueducto de Millares;7L03AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Millares;0;ESTADO_DESCONOCIDO
191;38.832939608101185;-0.1969657001886544;Adsubia-Rambla Gallinera;9O02AA01MVCR;l/m<sup>2</sup>;9;ESTADO_DESCONOCIDO;0.0;;Adsubia;0;ESTADO_DESCONOCIDO
340;38.832939608101185;-0.1969657001886544;Adsubia-Rambla Gallinera;9O02DQG1MVVR;m³/s;9;ESTADO_DESCONOCIDO;0.0;;Adsubia;0;ESTADO_DESCONOCIDO
181;38.44471277501255;-0.6412924943309242;Agost;8P04AA01MVCR;l/m<sup>2</sup>;2;ESTADO_DESCONOCIDO;0.0;;Agost;0;ESTADO_DESCONOCIDO
197;38.767947503647314;-0.5061655876009172;Agres;9P04AA01MVCR;l/m<sup>2</sup>;3;ESTADO_DESCONOCIDO;0.0;;Agres;0;ESTADO_DESCONOCIDO
182;38.33177677166598;-0.512884953842053;Alacant;8P05AA01MVCR;l/m<sup>2</sup>;2;ESTADO_DESCONOCIDO;0.0;;Alacant;0;ESTADO_DESCONOCIDO
158;38.98410679746129;-1.9213766613207954;Albacete;;;1;ESTADO_DESCONOCIDO;;;Albacete;0;ESTADO_DESCONOCIDO
83;40.43032509702217;-1.4361373001204114;Albarracín;3N02BA01MVCR;l/m<sup>2</sup>;6;ESTADO_DESCONOCIDO;0.0;;Albarracín;0;ESTADO_DESCONOCIDO
517;40.30170966686942;0.21531658926603256;Alcalá de Xivert;1P05AA01MVCR;l/m<sup>2</sup>;8;ESTADO_DESCONOCIDO;0.0;;Alcalá de Xivert;0;ESTADO_DESCONOCIDO
171;39.19589895188934;-1.4262214357212781;Alcalá del Júcar;7R01AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Alcalá del Júcar;0;ESTADO_DESCONOCIDO
330;39.19589895188934;-1.4262214357212781;Alcalá del Júcar;7R01JF01MVVR;m³/s;1;ESTADO_DESCONOCIDO;4.399;;Alcalá del Júcar;0;ESTADO_DESCONOCIDO
194;38.70614329683689;-0.48023472345661994;Alcoi;9P01AA01MVCR;l/m<sup>2</sup>;3;ESTADO_DESCONOCIDO;0.0;;Alcoi;0;ESTADO_DESCONOCIDO
523;39.83699572393478;-0.27958262132649003;Alfondeguilla;0P01AA01MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Alfondeguilla;0;ESTADO_DESCONOCIDO
123;39.742869326375164;-1.326093614646385;Aliaguilla;6P01AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Aliaguilla;0;ESTADO_DESCONOCIDO
101;39.72500467931369;-1.9037557247410852;Almodóvar del Pinar;4P01AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Almodóvar del Pinar;0;ESTADO_DESCONOCIDO
121;39.935721548989044;-0.9842954025909334;Alpuente;6N01BA01MVCR;l/m<sup>2</sup>;6;ESTADO_DESCONOCIDO;0.0;;Alpuente;0;ESTADO_DESCONOCIDO
172;38.62533469684185;-0.0745238500720715;Altea-Azud de Manden;8A01AA01MVCR;l/m<sup>2</sup>;10;ESTADO_DESCONOCIDO;0.0;;Altea;0;ESTADO_DESCONOCIDO
331;38.62533469684185;-0.0745238500720715;Altea-Azud de Manden;8A01DQG1MVVR;m³/s;10;ESTADO_DESCONOCIDO;0.0;;Altea;0;ESTADO_DESCONOCIDO
525;39.843781131597254;-0.607712577138716;Altura;0P03AA01MVCR;l/m<sup>2</sup>;11;ESTADO_DESCONOCIDO;0.0;;Altura;0;ESTADO_DESCONOCIDO
150;39.14824716123365;-0.4432013744633944;Alzira-Barranc de la Casella;7O07AA01MVCR;l/m<sup>2</sup>;4;ESTADO_DESCONOCIDO;0.0;;Alzira;0;ESTADO_DESCONOCIDO
187;38.53018517554874;-0.25819912319973204;Amadorio-Vila Joiosa;8S01AA01MVCR;l/m<sup>2</sup>;10;ESTADO_DESCONOCIDO;0.0;;Vila Joiosa;0;ESTADO_DESCONOCIDO
527;39.815890349335405;-0.8437029555433503;Andilla;0P04AA01MVCR;l/m<sup>2</sup>;5;ESTADO_DESCONOCIDO;0.0;;Andilla;0;ESTADO_DESCONOCIDO
134;39.08079443080699;-0.5968352445382547;Antella;7E06AA01MVCR;l/m<sup>2</sup>;4;ESTADO_DESCONOCIDO;0.0;;Antella;0;ESTADO_DESCONOCIDO
554;39.08079443080699;-0.5968352445382547;Antella;7E06DQG1MVVR;m³/s;4;ESTADO_DESCONOCIDO;3.873;;Antella;0;ESTADO_DESCONOCIDO
95;39.951854256996825;-2.0711161353983307;Arcas de Villar;4N02BA01MVCR;l/m<sup>2</sup>;7;ESTADO_DESCONOCIDO;0.0;;Arcas de Villar;0;ESTADO_DESCONOCIDO
86;40.69283197797993;-1.147823777409958;Argente;3N05BA01MVCR;l/m<sup>2</sup>;6;ESTADO_DESCONOCIDO;0.0;;Argente;0;ESTADO_DESCONOCIDO
351;40.359412297798976;-1.1963644057153975;Arquillo;;;6;ESTADO_DESCONOCIDO;;;Teruel;0;ESTADO_DESCONOCIDO
189;38.90330282116847;-0.20679080867252939;Assut d'En Carròs;9L01AA01MVCR;l/m<sup>2</sup>;3;ESTADO_DESCONOCIDO;0.0;;Villalonga;0;ESTADO_DESCONOCIDO
338;38.90330282116847;-0.20679080867252939;Assut d'En Carròs;9L01DQG1MVVR;m³/s;3;ESTADO_DESCONOCIDO;0.0;;Villalonga;0;ESTADO_DESCONOCIDO
203;40.24552608725521;-0.14057382564452042;Atzeneta del Maestrat;1O04AA01MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Atzeneta del Maestrat;0;ESTADO_DESCONOCIDO
160;39.050613697668275;-1.1018643684835592;Ayora;7P06AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Ayora;0;ESTADO_DESCONOCIDO
159;39.08556661831114;-1.214885470727279;Ayora-La Hunde;7P05AA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Ayora;0;ESTADO_DESCONOCIDO
553;39.17708309431769;-0.2644708841381853;Azud de la Marquesa;;;4;ESTADO_DESCONOCIDO;;;Cullera;0;ESTADO_DESCONOCIDO
96;39.671150739272;-1.9444350682922558;Barchín del Hoyo;4N03BA01MVCR;l/m<sup>2</sup>;1;ESTADO_DESCONOCIDO;0.0;;Barchín del Hoyo;0;ESTADO_DESCONOCIDO
92;39.818207303578745;-2.3352838681595673;Belmontejo;4L01AA01MVCR;l/m<sup>2</sup>;7;ESTADO_DESCONOCIDO;0.0;;Belmontejo;0;ESTADO_DESCONOCIDO
518;40.2796120354548;-0.20992423796717674;Benafigos;1P06AA01MVCR;l/m<sup>2</sup>;0;ESTADO_DESCONOCIDO;0.0;;Benafigos;0;ESTADO_DESCONOCIDO
515;40.36295673071851;-0.13731909942727036;Benasal;;;0;ESTADO_DESCONOCIDO;;;Benasal;0;ESTADO_DESCONOCIDO
179;38.73724132893667;-0.7473676233677471;Beneixama;8P02AA01MVCR;l/m<sup>2</sup>;2;ESTADO_DESCONOCIDO;0.0;;Beneixama;0;ESTADO_DESCONOCIDO
